scheme,url,description,date_accessed
HDFC Flexi Cap Fund,https://www.hdfcfund.com/explore/mutual-funds/hdfc-flexi-cap-fund/direct,"Official scheme details page with NAV, portfolio, riskometer, benchmark info",2026-02-09
HDFC Flexi Cap Fund,"https://files.hdfcfund.com/s3fs-public/KIM/2025-11/KIM%20-%20HDFC%20Flexi%20Cap%20Fund%20dated%20November%2021,%202025_1.pdf","KIM PDF with expense ratio, exit load, min SIP details",2026-02-09
HDFC Flexi Cap Fund,"https://files.hdfcfund.com/s3fs-public/SID/2025-11/SID-HDFC%20Flexi%20Cap%20Fund%20dated%20November%2021,%202025.pdf","SID PDF with full scheme facts, riskometer, benchmark",2026-02-09
HDFC Flexi Cap Fund,https://www.hdfcfund.com/investor-services/factsheets,"Factsheet download page; select HDFC Flexi Cap for monthly PDF with holdings, risk, fees",2026-02-09
HDFC Large Cap Fund,https://www.hdfcfund.com/explore/mutual-funds/hdfc-large-cap-fund/direct,"Official scheme details page with NAV, portfolio, riskometer, benchmark info (formerly HDFC Top 100 Fund)",2026-02-09
HDFC Large Cap Fund,https://www.hdfcfund.com/statutory-disclosure/kim-sid-addendum/kim,"KIM page - select HDFC Large Cap Fund for latest PDF with expense ratio, exit load, min SIP details",2026-02-09
HDFC Large Cap Fund,https://www.hdfcfund.com/statutory-disclosure/kim-sid-addendum/sid,"SID page - select HDFC Large Cap Fund for latest PDF with full scheme facts, riskometer, benchmark",2026-02-09
HDFC Large Cap Fund,https://www.hdfcfund.com/investor-services/factsheets,"Factsheet download page; select HDFC Large Cap for monthly PDF with holdings, risk, fees",2026-02-09
HDFC ELSS Tax Saver Fund,https://www.hdfcfund.com/explore/mutual-funds/hdfc-elss-tax-saver/direct,"Official scheme details page with NAV, portfolio, riskometer, benchmark, lock-in info",2026-02-09
HDFC ELSS Tax Saver Fund,"https://files.hdfcfund.com/s3fs-public/KIM/2025-11/KIM%20-%20HDFC%20ELSS%20Tax%20Saver%20dated%20November%2021,%202025.pdf","KIM PDF with expense ratio, exit load, min SIP, ELSS lock-in details",2026-02-09
HDFC ELSS Tax Saver Fund,"https://files.hdfcfund.com/s3fs-public/SID/2025-11/SID-HDFC%20ELSS%20Tax%20Saver%20dated%20November%2021,%202025.pdf","SID PDF with full scheme facts, riskometer, benchmark, lock-in",2026-02-09
HDFC ELSS Tax Saver Fund,https://www.hdfcfund.com/investor-services/factsheets,"Factsheet download page; select HDFC ELSS Tax Saver for monthly PDF with holdings, risk, fees",2026-02-09
HDFC Small Cap Fund,https://www.hdfcfund.com/explore/mutual-funds/hdfc-small-cap-fund/direct,"Official scheme details page with NAV, portfolio, riskometer, benchmark info",2026-02-09
HDFC Small Cap Fund,"https://files.hdfcfund.com/s3fs-public/KIM/2025-11/KIM%20-%20HDFC%20Small%20Cap%20Fund%20dated%20November%2021,%202025.pdf","KIM PDF with expense ratio, exit load, min SIP details",2026-02-09
HDFC Small Cap Fund,"https://files.hdfcfund.com/s3fs-public/SID/2025-11/SID-HDFC%20Small%20Cap%20Fund%20dated%20November%2021,%202025.pdf","SID PDF with full scheme facts, riskometer, benchmark",2026-02-09
HDFC Small Cap Fund,https://www.hdfcfund.com/investor-services/factsheets,"Factsheet download page; select HDFC Small Cap for monthly PDF with holdings, risk, fees",2026-02-09
HDFC Balanced Advantage Fund,https://www.hdfcfund.com/explore/mutual-funds/hdfc-balanced-advantage-fund/direct,"Official scheme details page with NAV, portfolio, riskometer, benchmark info",2026-02-09
HDFC Balanced Advantage Fund,"https://files.hdfcfund.com/s3fs-public/KIM/2025-11/KIM%20-%20HDFC%20Balanced%20Advantage%20Fund%20dated%20November%2021,%202025.pdf","KIM PDF with expense ratio, exit load, min SIP details",2026-02-09
HDFC Balanced Advantage Fund,"https://files.hdfcfund.com/s3fs-public/SID/2025-11/SID-HDFC%20Balanced%20Advantage%20Fund%20dated%20November%2021,%202025.pdf","SID PDF with full scheme facts, riskometer, benchmark",2026-02-09
HDFC Balanced Advantage Fund,https://www.hdfcfund.com/investor-services/factsheets,"Factsheet download page; select HDFC Balanced Advantage for monthly PDF with holdings, risk, fees",2026-02-09
General Resources,https://www.hdfcfund.com/statutory-disclosure/total-expense-ratio-of-mutual-fund-schemes/reports,HDFC TER reports page for expense ratios across schemes,2026-02-09
General Resources,https://www.hdfcfund.com/statutory-disclosure/portfolio/monthly-portfolio,Monthly portfolio disclosures with benchmark comparisons,2026-02-09
General Resources,https://www.sebi.gov.in/sebi_data/faqfiles/sep-2024/1727242783639.pdf,"SEBI Investor FAQs PDF: Covers expense ratio, exit load, min SIP, statements",2026-02-09
General Resources,https://investor.sebi.gov.in/exit_load.html,SEBI guide on exit load,2026-02-09
General Resources,https://www.amfiindia.com/investor-corner/knowledge-center,"AMFI Knowledge Center: Investor education and FAQs",2026-02-09
General Resources,https://www.amfiindia.com/research-information/other-data/consolidated-account-statement,AMFI guide on Consolidated Account Statements for downloads,2026-02-09
General Resources,https://www.nism.ac.in/wp-content/uploads/2021/02/FAQsOnMfs-3-1.pdf,"NISM Mutual Fund FAQs: Min SIP, ELSS lock-in, basics; NISM is SEBI-affiliated",2026-02-09
